price,lotsize,bedrooms,bathrms,stories,driveway,recroom,fullbase,gashw,airco,garagepl,prefarea
42000.0,5850,3,1,2,yes,no,yes,no,no,1,no
38500.0,4000,2,1,1,yes,no,no,no,no,0,no
49500.0,3060,3,1,1,yes,no,no,no,no,0,no
60500.0,6650,3,1,2,yes,yes,no,no,no,0,no
61000.0,6360,2,1,1,yes,no,no,no,no,0,no
66000.0,4160,3,1,1,yes,yes,yes,no,yes,0,no
66000.0,3880,3,2,2,yes,no,yes,no,no,2,no
69000.0,4160,3,1,3,yes,no,no,no,no,0,no
83800.0,4800,3,1,1,yes,yes,yes,no,no,0,no
88500.0,5500,3,2,4,yes,yes,no,no,yes,1,no
90000.0,7200,3,2,1,yes,no,yes,no,yes,3,no
30500.0,3000,2,1,1,no,no,no,no,no,0,no
27000.0,1700,3,1,2,yes,no,no,no,no,0,no
36000.0,2880,3,1,1,no,no,no,no,no,0,no
37000.0,3600,2,1,1,yes,no,no,no,no,0,no
37900.0,3185,2,1,1,yes,no,no,no,yes,0,no
40500.0,3300,3,1,2,no,no,no,no,no,1,no
40750.0,5200,4,1,3,yes,no,no,no,no,0,no
45000.0,3450,1,1,1,yes,no,no,no,no,0,no
45000.0,3986,2,2,1,no,yes,yes,no,no,1,no
48500.0,4785,3,1,2,yes,yes,yes,no,yes,1,no
65900.0,4510,4,2,2,yes,no,yes,no,no,0,no
37900.0,4000,3,1,2,yes,no,no,no,yes,0,no
38000.0,3934,2,1,1,yes,no,no,no,no,0,no
42000.0,4960,2,1,1,yes,no,no,no,no,0,no
42300.0,3000,2,1,2,yes,no,no,no,no,0,no
43500.0,3800,2,1,1,yes,no,no,no,no,0,no
44000.0,4960,2,1,1,yes,no,yes,no,yes,0,no
44500.0,3000,3,1,1,no,no,no,no,yes,0,no
44900.0,4500,3,1,2,yes,no,no,no,yes,0,no
45000.0,3500,2,1,1,no,no,yes,no,no,0,no
48000.0,3500,4,1,2,yes,no,no,no,yes,2,no
49000.0,4000,2,1,1,yes,no,no,no,no,0,no
51500.0,4500,2,1,1,yes,no,no,no,no,0,no
61000.0,6360,2,1,2,yes,no,no,no,no,0,no
61000.0,4500,2,1,1,yes,no,no,no,yes,2,no
61700.0,4032,2,1,1,yes,no,yes,no,no,0,no
67000.0,5170,3,1,4,yes,no,no,no,yes,0,no
82000.0,5400,4,2,2,yes,no,no,no,yes,2,no
54500.0,3150,2,2,1,no,no,yes,no,no,0,no
66500.0,3745,3,1,2,yes,no,yes,no,no,0,no
70000.0,4520,3,1,2,yes,no,yes,no,yes,0,no
82000.0,4640,4,1,2,yes,no,no,no,no,1,no
92000.0,8580,5,3,2,yes,no,no,no,no,2,no
38000.0,2000,2,1,2,yes,no,no,no,no,0,no
